Spectators,Year,Month,Weekday,Date,Timevalue,Time,Won,Score,Homegame,Opponent
5480,10,9,3,2010-9-16,2,18:30,0,1-2,1,SaiPa Lappeenranta
4033,10,9,4,2010-9-17,2,18:30,0,2-1,0,JYP Jyväskylä
4891,10,9,1,2010-9-21,2,18:30,1,4-3,1,HPK Hämeenlinna
4664,10,9,3,2010-9-23,2,18:30,0,0-3,1,Pelicans Lahti
5347,10,9,5,2010-9-25,2,18:30,0,2-1,0,Espoo Blues
5408,10,9,1,2010-9-28,2,18:30,1,7-2,1,Jokerit
6071,10,10,5,2010-10-2,2,18:30,1,5-1,1,KalPa Kuopio
3170,10,10,1,2010-10-5,2,18:30,0,4-1,0,Porin Ässät
4012,10,10,3,2010-10-7,2,18:30,0,3-1,0,Tappara Tampere
5703,10,10,5,2010-10-9,2,18:30,1,4-2,1,TPS Turku
2808,10,10,1,2010-10-12,2,18:30,0,3-2,0,HPK Hämeenlinna
5050,10,10,3,2010-10-14,2,18:30,1,4-2,1,Ilves Tampere
5418,10,10,5,2010-10-16,2,18:30,1,5-4,1,Pelicans Lahti
6542,10,10,1,2010-10-19,2,18:30,0,3-1,0,IFK Helsinki
5811,10,10,3,2010-10-21,2,18:30,0,1-2,1,JYP Jyväskylä
6699,10,10,1,2010-10-26,2,18:30,0,1-4,1,Porin Ässät
9417,10,10,4,2010-10-29,2,18:30,1,1-5,0,Jokerit
5113,10,11,1,2010-11-2,2,18:30,1,3-1,1,HPK Hämeenlinna
3578,10,11,3,2010-11-4,2,18:30,0,4-0,0,Lukko Rauma
6071,10,11,5,2010-11-6,2,18:30,0,4-1,0,TPS Turku
5396,10,11,1,2010-11-16,2,18:30,0,3-5,1,Tappara Tampere
2605,10,11,3,2010-11-18,2,18:30,1,2-3,0,SaiPa Lappeenranta
5924,10,11,5,2010-11-20,2,18:30,0,3-5,1,Espoo Blues
3985,10,11,1,2010-11-23,2,18:30,0,6-2,0,KalPa Kuopio
6474,10,11,3,2010-11-25,2,18:30,0,1-3,1,IFK Helsinki
5628,10,11,5,2010-11-27,2,18:30,1,5-4,1,Lukko Rauma
3534,10,11,1,2010-11-30,2,18:30,1,1-2,0,Porin Ässät
4709,10,12,3,2010-12-2,2,18:30,1,1-3,0,Ilves Tampere
6700,10,12,5,2010-12-4,2,18:30,1,2-1,1,Jokerit
4160,10,12,1,2010-12-7,2,18:30,0,4-3,0,Tappara Tampere
3680,10,12,3,2010-12-9,2,18:30,0,4-1,0,Pelicans Lahti
3638,10,12,5,2010-12-11,2,18:30,0,1-0,0,Lukko Rauma
3259,10,12,1,2010-12-28,2,18:30,1,0-1,0,SaiPa Lappeenranta
6949,10,12,3,2010-12-30,2,18:30,1,3-5,0,IFK Helsinki
5632,11,1,1,2011-1-4,2,18:30,0,1-4,1,TPS Turku
5726,11,1,3,2011-1-6,2,18:30,0,1-4,1,Ilves Tampere
4426,11,1,5,2011-1-8,2,18:30,1,1-2,0,KalPa Kuopio
4909,11,1,1,2011-1-11,2,18:30,0,2-3,1,Porin Ässät
5044,11,1,3,2011-1-13,2,18:30,1,3-4,0,Tappara Tampere
6002,11,1,5,2011-1-15,2,18:30,0,1-4,1,HPK Hämeenlinna
3896,11,1,1,2011-1-18,2,18:30,0,7-3,0,JYP Jyväskylä
4721,11,1,3,2011-1-20,2,18:30,1,4-3,1,Lukko Rauma
5693,11,1,5,2011-1-22,2,18:30,1,1-2,0,TPS Turku
5760,11,1,1,2011-1-25,2,18:30,0,2-3,1,IFK Helsinki
4483,11,1,3,2011-1-27,2,18:30,1,5-4,1,Espoo Blues
4711,11,1,4,2011-1-28,2,18:30,0,3-1,0,Espoo Blues
4253,11,2,3,2011-2-3,2,18:30,0,3-2,0,Espoo Blues
5459,11,2,5,2011-2-5,2,18:30,1,4-3,1,SaiPa Lappeenranta
5258,11,2,1,2011-2-15,2,18:30,0,2-3,1,KalPa Kuopio
6111,11,2,3,2011-2-17,2,18:30,1,3-4,0,Ilves Tampere
6336,11,2,5,2011-2-19,2,18:30,1,4-2,1,JYP Jyväskylä
5264,11,2,1,2011-2-22,2,18:30,1,4-3,1,TPS Turku
4909,11,2,3,2011-2-24,2,18:30,0,4-0,0,Porin Ässät
6362,11,2,5,2011-2-26,2,18:30,1,5-3,1,Tappara Tampere
3852,11,3,1,2011-3-1,2,18:30,1,0-1,0,HPK Hämeenlinna
7758,11,3,3,2011-3-3,2,18:30,1,1-2,0,Jokerit
6083,11,3,5,2011-3-5,1,16:00,1,4-1,1,Espoo Blues
4484,11,3,1,2011-3-8,2,18:30,1,1-2,0,Lukko Rauma
6167,11,3,3,2011-3-10,2,18:30,1,4-1,1,Ilves Tampere
5098,11,3,5,2011-3-12,1,17:00,0,2-3,1,Espoo Blues
4441,11,3,6,2011-3-13,1,17:00,1,3-5,0,Espoo Blues
5952,11,3,1,2011-3-15,2,18:30,0,1-2,1,Espoo Blues
3279,11,9,3,2011-9-15,2,18:30,1,1-4,0,SaiPa Lappeenranta
6600,11,9,5,2011-9-17,1,17:00,1,3-2,1,JYP Jyväskylä
5370,11,9,1,2011-9-20,2,18:30,1,4-1,1,Lukko Rauma
3491,11,9,4,2011-9-23,2,18:30,0,2-1,0,HPK Hämeenlinna
5855,11,9,5,2011-9-24,1,17:00,1,0-3,0,Ilves Tampere
5347,11,9,2,2011-9-28,2,18:30,0,1-4,1,Espoo Blues
5764,11,9,4,2011-9-30,2,18:30,1,2-1,1,KalPa Kuopio
6902,11,10,1,2011-10-4,2,18:30,0,3-2,0,IFK Helsinki
4938,11,10,3,2011-10-6,2,18:30,1,2-1,1,Tappara Tampere
4185,11,10,5,2011-10-8,1,17:00,0,2-1,0,JYP Jyväskylä
5222,11,10,1,2011-10-11,2,18:30,1,5-2,1,TPS Turku
5005,11,10,3,2011-10-13,2,18:30,0,3-2,0,Tappara Tampere
4510,11,10,4,2011-10-14,2,18:30,0,5-2,0,Porin Ässät
6614,11,10,1,2011-10-18,2,18:30,0,3-6,1,IFK Helsinki
4723,11,10,4,2011-10-21,2,18:30,1,1-4,0,KalPa Kuopio
6555,11,10,5,2011-10-22,1,17:00,0,2-3,1,Pelicans Lahti
5671,11,10,3,2011-10-27,2,18:30,1,5-2,1,SaiPa Lappeenranta
4475,11,11,1,2011-11-1,2,18:30,0,4-1,0,Pelicans Lahti
4042,11,11,3,2011-11-3,2,18:30,0,3-2,0,Espoo Blues
5841,11,11,5,2011-11-5,1,17:00,0,1-2,1,HPK Hämeenlinna
5822,11,11,1,2011-11-15,2,18:30,1,2-1,1,Ilves Tampere
8747,11,11,4,2011-11-18,2,18:30,1,2-4,0,Jokerit
6614,11,11,5,2011-11-19,1,17:00,1,3-0,1,Jokerit
4472,11,11,1,2011-11-22,2,18:30,0,4-1,0,Ilves Tampere
5708,11,11,5,2011-11-26,1,17:00,1,5-2,1,Tappara Tampere
3521,11,11,1,2011-11-29,2,18:30,0,3-2,0,Lukko Rauma
4927,11,12,3,2011-12-1,2,18:30,1,0-5,0,TPS Turku
6068,11,12,5,2011-12-3,1,17:00,0,1-4,1,Porin Ässät
4707,11,12,2,2011-12-7,2,18:30,0,3-0,0,Ilves Tampere
6450,11,12,4,2011-12-9,2,18:30,0,1-2,1,Jokerit
6094,11,12,1,2011-12-27,2,18:30,1,4-2,1,KalPa Kuopio
5269,11,12,3,2011-12-29,2,18:30,1,1-3,0,Tappara Tampere
5051,12,1,1,2012-1-3,2,18:30,1,4-3,1,Espoo Blues
4373,12,1,3,2012-1-5,2,18:30,1,1-3,0,TPS Turku
6101,12,1,5,2012-1-7,1,17:00,1,4-2,1,Porin Ässät
3000,12,1,1,2012-1-10,2,18:30,0,5-2,0,HPK Hämeenlinna
5572,12,1,4,2012-1-13,2,18:30,0,1-2,1,Tappara Tampere
5066,12,1,5,2012-1-14,1,17:00,1,1-6,0,Espoo Blues
4965,12,1,1,2012-1-17,2,18:30,1,5-4,1,JYP Jyväskylä
5055,12,1,4,2012-1-20,2,18:30,0,2-4,1,Espoo Blues
3405,12,1,5,2012-1-21,1,17:00,0,4-1,0,Espoo Blues
5367,12,1,1,2012-1-24,2,18:30,1,4-1,1,TPS Turku
5021,12,1,4,2012-1-27,2,18:30,1,4-5,0,Pelicans Lahti
8200,12,1,5,2012-1-28,1,17:00,0,6-3,0,IFK Helsinki
4991,12,1,1,2012-1-31,2,18:30,1,2-1,1,Lukko Rauma
3310,12,2,4,2012-2-3,2,18:30,0,2-1,0,HPK Hämeenlinna
5693,12,2,5,2012-2-4,1,17:00,1,3-1,1,SaiPa Lappeenranta
3879,12,2,1,2012-2-14,2,18:30,1,2-3,0,KalPa Kuopio
6614,12,2,4,2012-2-17,2,18:30,0,1-6,1,IFK Helsinki
3889,12,2,1,2012-2-21,2,18:30,1,3-5,0,Lukko Rauma
5343,12,2,3,2012-2-23,2,18:30,1,2-3,0,Porin Ässät
6401,12,2,5,2012-2-25,1,17:00,1,6-3,1,Pelicans Lahti
5583,12,2,1,2012-2-28,2,18:30,1,5-2,1,Ilves Tampere
5806,12,3,3,2012-3-1,2,18:30,1,1-4,0,TPS Turku
5904,12,3,5,2012-3-3,1,17:00,1,2-1,1,HPK Hämeenlinna
3714,12,3,1,2012-3-6,2,18:30,0,3-2,0,SaiPa Lappeenranta
10198,12,3,3,2012-3-8,2,18:30,0,4-1,0,Jokerit
6396,12,3,5,2012-3-10,1,17:00,0,1-2,1,Lukko Rauma
6268,12,3,1,2012-3-13,2,18:30,1,3-2,1,Porin Ässät
4500,12,3,3,2012-3-15,2,18:30,0,4-1,0,JYP Jyväskylä
4911,12,3,5,2012-3-17,1,17:00,1,4-1,1,TPS Turku
5037,12,3,6,2012-3-18,1,17:00,1,1-2,0,TPS Turku
4906,12,3,3,2012-3-22,2,18:30,0,5-0,0,Pelicans Lahti
6161,12,3,5,2012-3-24,1,17:00,1,4-3,1,Pelicans Lahti
5039,12,3,0,2012-3-26,2,18:30,1,1-4,0,Pelicans Lahti
6575,12,3,2,2012-3-28,2,18:30,1,4-1,1,Pelicans Lahti
5312,12,3,4,2012-3-30,2,18:30,0,4-2,0,Pelicans Lahti
6006,12,3,5,2012-3-31,1,17:00,0,3-4,1,Pelicans Lahti
5530,12,4,0,2012-4-2,2,18:30,0,3-2,0,Pelicans Lahti
5432,12,9,3,2012-9-13,2,18:30,0,2-4,1,SaiPa Lappeenranta
4150,12,9,5,2012-9-15,2,18:30,0,3-1,0,JYP Jyväskylä
5852,12,9,2,2012-9-19,2,18:30,1,6-0,1,Porin Ässät
